English,Acoli,Luganda,Lumasaaba,Runyakore,Kiswahili
Today's meeting has delayed starting.,Kacokke matini orii kacake.,Olukiiko lwaleero luluddewo okutandika.,Luubusano lwe syalelo lwa kelewelle,Orukiiko rw'eriizooba rwakyerererwa kutandika.,Mkutano wa leo umechelewesha kuanza.
The number of cabinet ministers in the country has increased over the years.,Wel kabinet minicita i lobo man omede imwaka man.,Omuwendo gwa baminisita mu ggwanga guzze gweyongera mu myaka gino.,Bbakoosi babekhala khunasitsolongo nga barangilila biffo bye burawa byesi umukhulu we linambo abawa khurangilila beyongele bukali,Omuhendo gw'abaaminisita  omu ihanga gugumire nigweyongyera buri mwaka.,Idadi ya mawaziri wa baraza la mawaziri nchini imeongezeka zaidi ya miaka.
Most industrial waste products destroy the environment.,Pol yugi ma aa ki ii cuma yubo jami balo kabedo ma orumowa.,Kasasiro asinga okuva mu makolero ayonoona obutonde bw'ensi.,Bibyama mu makholelo nga byawelekho kumukaso byoneka bikhwibotokhelela,Kasasiro nyingi erikuruga omu makorero neeshiisha ebyobuhangwa ebitwehinguririize.,Bidhaa nyingi za taka za viwandani huharibu mazingira.
Shops have a variety of packaging materials.,Dukan tye ki jami mapol ma patpat me boc.,Amaduuka galina ebisabika by'ebintu eby'enjawulo.,Kamakulanilo kali ni bikali bye khubweyelamo,Amaduuka gaine eby'okukomamu ebintu eby'emiringo mingi.,Duka zina vifaa mbali mbali vya ufungaji.
Some people's language is difficult to understand.,Niang leb pa dano mogo tek.,Abantu abamu balina olulimi oluzibu okutegeera.,Tsinimii tsyebabandu balala tsindala tsya aangalaa khumanya,Orurimi rw'abantu abamwe rugumire kwetegyereza.,Lugha ya watu wengine ni ngumu kuelewa.
They made some amendments to their constitution yesterday.,Guloko pen cikgi mogo laworo.,Eggulo baakoze ennongoosereza mu ssemateeka waabwe.,Bayusilemo khuu makambila ka bafukka ingolobe,Nyomwebazyo bakozire empinduka omu  ngyenderwaho yaabo.,Walifanya marekebisho kadhaa katika katiba yao jana.
Judges are the most important civil servants in the country.,Lungol kop aye lutic pa gamente ma pirgi tek loyo i lobo kany.,Abalamuzi be bakozi ba gavumenti abasinga obukulu mu ggwanga.,Bakayi nibo barambi bafurayo mwinambo,Abaramuzi nibo bakozi ba gavumenti abarikukizayo omugasho omu ihanga.,Majaji ndio wafanyikazi  muhimu wa serikali  nchini.
Prices of commodities keep on changing every day.,Wel jami tiko lokke nino duc.,Emiwendo gy'ebintu gikyukakyuka buli lunaku.,Kampesi ke bikulwa kayukha bulibusyele,Emihendo y'ebintu neeguma neehindahinduka buriizooba.,Bei ya bidhaa zinabadilika kila siku.
Banks offer loans to people.,Bang miyo lim den ki dano.,Bbanka ziwola abantu ssente.,Birekere bibikha ate byafuka kamamotoola/kamapesi bikopesa kamapsei isi babandu,Za banka nizihora abantu sente.,Benki hutoa mikopo kwa watu.
Police officers arrested some criminals in our area this morning.,Abili gumako lutim bal mogo i ikabedowa odiko man.,Abaserikale bakutte abamenyi b'amateeka amakya ga leero.,Babalinda lukoosi khusisinza syeffe baambile bafuniaka kamakambila kumutikhinye syalelo,Abapooriisi baakwata enkozi z'ebibi omu kyaro kyaitu akasheeshe aka.,Maafisa wa polisi walikamata wahalifu wengine katika eneo letu asubuhi ya leo.
Illegal possession of a gun is punishable by law.,Bedo ki muduku ma cik pe ngeyo kipwodo ki cik.,Okubeera n'emmundu etali mu mateeka kiviirako okubonerezebwa mu mateeka.,"Khubba ni kumwi enelo aleyi nga suli ni bunyali khu khwama mu bakiiyila ,si khwamilakho bukhangafu mu makambila ke linambo",Okugira embundu omu muringo gutahikire nikihenda ebiragiro.,Milki isiyo halali ya bunduki inaadhibiwa na sheria.
It requires you a good lawyer to win a court case.,Loyo kot mito lapilida ma ocwiny.,Kikwetaagisa okubeera ne looya omulungi okusobola okuwangula omusango mu kkooti.,Sikhukanisa umunamakambila umulayi niyo wafura kumusango,Nooyetenga kuba oine omuhoreereza murungi kusinga orubanja.,Inakuhitaji wakili mzuri kushinda kesi ya korti.
Police officers are highly skilled in their work.,Abili gucwiny mada iticgi.,Abaserikale ba ppoliisi bakugu nnyo mu mulimu gwabwe.,Bbabalinda lukoosi bali ni bumanyilifu bukali mumilimo kyabwe,Abapooriisi baine obukugu bw'amaani  omu murimo gwabo.,Maafisa wa polisi wana ujuzi sana katika kazi zao.
It is not easy to survive a case with clear evidence.,Loyo kot ma cadene tye atir pe yot.,Kizibu okusimattuka omusango oguliko obujulizi.,Sisili syangu khukhwifubarura/ khuoona kumusango kulikho byekhubonelakho taa,Ti kyorobi kusinga orubanja  orwine obuhame burikumara.,Si rahisi kushinda kesi na ushahidi dhahiri
Oil is a very profitable item of trade world over.,Moo tye gin ma kelo magoba mada i wilobo kulu.,Amafuta kyamuguzi ekireeta amagoba agawerera ddala mu nsi yonna.,Kamafura kakama mwiloba kali ni kamafurisa kamakali musibala syosi,Amajuta n'eky'obuguzi bwingi omu by'obushuubuzi omunsi yoona.,Mafuta ni bidhaa yenye faida sana ya biashara ulimwenguni kote.
The government has compensated the people who lost their land during the road expansion.,Gamente oculo jo ma orwenyo ngomgi ikare me yabo ii gugu.,Gavumenti eyiriridde abantu abaafiibwa ettaka lyabwe mu kugaziya oluguudo.,Linambo lyesilewo babandu baba fwila liloba lyabwe nga yombekha kimikhoosi,Gavumenti eshumbushire abantu abafeereirwe eitaka ryabo omu kuhangusya orukuuto.,Serikali imelipa fidia watu waliopoteza ardhi wakati wa upanuzi wa barabara.
Tax officers closed a number of shops without trading licenses.,Lucok mucoro oloro dukan mapol ma gipe ki lanycic me cat.,Abeemisolo baggaddewo amaduuka agawera agabadde tegalina layisinsi.,Baba solosa kamawumule bekaale kamakulisilo kakhali ni lupapula lukafukilisa taa,Abashorooza b'omushoro bakingire amaduuka maingi agataine rayisensi.,Maafisa wa ushuru walifunga maduka kadhaa bila leseni za biashara.
There are many smuggled goods in the country.,Jami ma kikelo i alii dwong mada ilobo man.,Ebyamaguzi ebikukuse bingi nnyo mu ggwanga.,Bikulwa bibingila mwinambo nga byewomele kumusolo bikali,Omu ihanga harimu ebintu bingi bya magyendo.,Kuna bidhaa nyingi  ya magendo  nchini.
Almost all political parties have their headquarters in the capital city.,Cok cok pati pa lucungo iwi bye ducu gitye ki gankalgi i citi.,Kumpi ebibiina by'ebyobufuzi byonna birina ebitebe byabyo mu kibuga ekikulu.,Birekere bye buwuli bifura bukali mwinambo bili mu sirimba sikhulu,Haihi ebibiina by'eby'obutegyeki  byona biine ofiisi zaabyo enkuru omu kibuga kikuru ky'eihanga.,Karibu vyama vyote vya siasa vina makao yao makuu katika mji mkuu.
Some leaders are not cooperative.,Lutela mukene pe giwinye.,Abakulembeze abamu tebaagala kukolera wamu.,Barangilisi babandi sibali ni burambi bwe atweela taa,Abeebembezi abamwe tibarikukunda okukwatanisa n'abandi.,Viongozi wengine hawashirikiani
Other party members disagreed with the leaders' decision.,Lumema me pati mukene pe gicwako tam pa lutela.,Bannakibiina abalala tebakkaanyizza n'okusalawo kw'omukulembeze.,Bemwituuli babandi sibafukilisanile ni inkhalawo ye umurangilisi taa,Bamwe ahari baamemba b'ekibiina tibaraikirizaine n'encwamu y'abeebembezi.,Washiriki wengine wa chama hawakubaliani na uamuzi wa viongozi.
Health workers play an important role in people's lives.,Lutic me yotkom gitimo jami ma pirgi tego ikwo pa dano.,Abeebyobulamu bakola omulimu munene mu bulamu bw'abantu.,Bebyebulamu bali ni sikaali syesi bakhoola mu bwebabandu,Abakozi b'eby'amagara nibakora omurimo muhango aha magara g'abantu.,Wafanyikazi wa afya huchukua jukumu muhimu katika maisha ya watu.
Government should fully equip the labor wards in most public hospitals.,Gamente myero oket jami mamite ducu i ot nywal i pol odi yen pa gamente.,Gavumenti esaanye eteeke ebikozesebwa mu mazaaliro agasangibwa mu malwaliro ga gavumenti.,Linambo lyakha khura ibyo byosi bibikanibwa mumakangilo nadala isi bamayi basalila mumakangilo ke babandu,Gavumenti eshemereire kuta ebikozeso byona omu marwariro g'abazaarisa aga gavumenti.,Serikali inapaswa kuandaa kikamilifu wodi za kazi katika hospitali nyingi za umma.
Poor communication hinders the development of an area.,Rac pa kube ikin dano balo dongo lobo.,Empuliziganya embi eremesa okukulaakulana kw'ekitundu.,Khulaa khurekeresana sikhasisa intsoatsoana musisinza,Eby'empurizana bibi nibigaruza enyima entunguuka omu kyanga.,Mawasiliano duni huzuia maendeleo ya eneo.
The government gets financial support from other countries.,Gamente nongo kony me lim ki bot lobo mukene.,Gavumenti efuna obuyambi bw'ensimbi okuva mu mawanga amalala.,Linambo lifuna buyetti bwe kamawumule khukhwama mumanambo kakandi,Gavumenti neetunga obuhwezi bwa sente kuruga omu mahanga agandi.,Serikali inapata msaada wa kifedha kutoka nchi zingine.
Sometimes people die innocently.,Kare mukene dano too labongo bal.,Oluusi abantu bafa nga tebalina musango.,"Imbukka ikindi, babandu bafwa busaa/ nga mbawo syesi bakholele taa",Obumwe abantu nibafa bataine rubanja.,Wakati mwingine watu hufa bila hatia.
Government officials deserve to have bodyguards.,Lutic pa gamente opore me bedo ki acikari magwokogi.,Abakungu bagavumenti basaana okufuna abakuumi.,Barambi be linambo bakha khuba ni baba linda,Abakozi ba gavumenti bashemereire kuba baine abaserukare abarikubakuuma.,Maafisa wa serikali wanastahili kuwa na walinzi wa mwili.
There is poor security in our area.,Ber bedo pe ber ikabedowa.,Mu kitundu kyaffe mulimu obutali butebenkenvu.,Mu sifo syefwe bulindi sibuli bulayi taa.,Ekyaro kyaitu tikiine bukuumi bwona.,Kuna usalama duni katika eneo letu.
Many African countries have experienced rebel attacks.,Pol lobo me Africa adwi omonyogi.,Amawanga ga Afirika mangi gaalimu obulumbaganyi bw'abayeekera.,Kamanambo ka Africa kafura bukali kakanane bakapanisa bakali,Amahanga maingi ga Afirika gaararumbirweho abaheekyera.,Nchi nyingi za Kiafrika zimepata shambulio la waasi.
Wars lead to the loss of people's lives and property.,Lweny kelo rwenyo kwo pa dano ki jami.,Entalo ziviirako abantu okufa ate n'ebintu ebikalu.,Khuusolana khwamamo babandu khufwa ni bibindu khukhwonekha,Entaro nizirugamu okufeerwa abantu n'ebintu.,Vita husababisha upotezaji wa maisha na mali ya watu.
Maize is one of the major food crops in Uganda.,Lanywagi tye ikin cam ma pirgi tego i Uganda.,Kasooli y'emu ku mmere enkulu mu Uganda.,Nasimya nisyo silimwa sitwela khubilimwa bilimibwa nabbi mu Uganda,Ebicoori ni kimwe aha bihingwa bikuru omuri Uganda.,Mahindi ni moja wapo ya mazao makubwa ya chakula nchini Uganda.
Farmers have resorted to the use of machines to improve their yields.,Lupur gudok katic ki macin wek camgi kucek maber.,Abalimi batandise okukozesa ebyuma bibayambe okwongera ku makungula gaabwe.,Balimi barakikhile khurambisa bibyuma mu khulima niyo bamisemo bilayi,Abahingi/Abatungi bacwiremu kukozesa zaakarakita kwongyera aha mashaaruura gaabo.,Wakulima wameamua matumizi ya mashine kuboresha mavuno yao.
Prices for agricultural products keep changing from time to time.,Wel jami apura tiko loke kare ki kare.,Emiwendo gy'ebirime gikyukakyuka buli kiseera.,kamapesi kakula bye bulimi kayukha bulimbuka.,Emihendo y'ebihingwa neeguma neehindahinduka buri kaanya.,Bei za bidhaa za kilimo zinaendelea kubadilika mara kwa mara.
The Uganda national anthem has three stanzas.,Lubara pa Uganda tye ki dul adek.,Oluyimba lwa Uganda lulina ebitundu bisatu.,Kumwenya kwe linambo lye Uganda kuli ni bisinza bitaru,Ekyeshongoro ky'eihanga rya Uganda kiine ebicweka bishatu.,Wimbo wa kitaifa wa Uganda una stanzas tatu.
The independence day celebrations are done in October every year.,Kwer me locken time i Dwe me Apar mwaka ducu.,Ebijaguzo by'olunaku lw'ameefuga bibeerayo mu Gwekkumi gwa buli mwaka.,Kimikholo kye Khu khebulila khukhwiyawula kibawo mumwesi kwe likhumi buli mwiko,Omukoro gw'okujaguza ekiro ky'okwetegyeka nigubaho omu kwezi kw'aikumi buri mwaka.,Maadhimisho ya Siku ya Uhuru hufanywa mnamo Oktoba kila mwaka.
This country has lost many important people over the years.,Lobo man orwenyo dano mapol ma pirgi tego imwaka man.,Eggwanga lino lifiiriddwako abantu bangi ab'enkizo mu myaka egiyise.,Linambo lino lyafilile babandu bekumukaso nabbi mu myakha kibirire,Eihanga eri rifeeriirwe abantu baingi b'obujunanizibwa emyaka ehingwireho.,Nchi hii imepoteza watu wengi muhimu kwa miaka.
Our capital city is occupied by people from different parts of the country.,Citiwa madit madit opong ki dano ma itwak lobo man mapatpat.,Ekibuga kyaffe ekikulu kirimu abantu abava mu bitundu by'eggwanga eby'enjawulo.,Sirimba syefwe sikhulu silimo babandu babama buli luwande lwe linambo,Orurembo rwaitu rukuru nirutuurwamu abantu kuruga omu bicweka bingi by'eihanga.,Mji mkuu wetu unamilikiwa na watu kutoka sehemu tofauti za nchi.
"Currently, the elderly have a representative in the parliament.",Kombedi jo ma otegi gitye ki lacungo pirgi i ot moko cik.,"Mu kaseera kano, abakadde balina omukiise mu lukiiko lw'eggwanga.","Aluno ari, babandu baangaale bali ni ubarangilila mu lukhikho lukhulu lwe linambo","Obwahati, abagurusi n'abakaikuru baine omujwekyerwa omu ishengyero ry'eihanga.","Hivi sasa, wazee wana mwakilishi katika Bunge."
The ruling party has the majority representation in the parliament.,Pati matye i loc tye ki lucungo madwong loyo i ot moko cik.,Ekibiina ekiri mu buyinza kye kirina ababaka abasinga obungi mu lukiiko lw'eggwanga.,Lituuli lifura mubyekhurobola mwinambo nilyo liba ni bubwikhalilo bukali mu lukhikho lufuka linambo,Ekibiina ky'ebyobutegyeki ekirikwebembera eihanga nikyo kiine abajwekyerwa baingi omu ishengyero ry'eihanga.,Chama tawala kina uwakilishi mwingi katika Bunge.
The sports council appointed a new coach for the national team.,Kancil me tuku gucimu lapwony lutuku manyen pi tim me lobo man.,Akakiiko k'ebyemizannyo kaalonze omutendesi wa ttiimu y'eggwanga omuggya.,Lukhikho lwe byekiminyawo lwangalee uyo utsa khu rangilila babenyaila linambo,Orukiiko orurikukurira eby'emizaano ruronzire omutendeki musya owa tiimu y'eihanga.,Baraza la Michezo liliteua kocha mpya wa timu ya kitaifa.
"In our community, the chairman deals with legal issues.","Ikabedowa, wonkom tiyo ikom lok me cik.","Mu kitundu kyaffe, ssentebe akwasaganya ensonga zonna ezeekuusa ku mateeka.","Mu syaloo syefwe, umukhulu we sisyalo niyo uramba khu bye kamakambila.","Omu kyanga kyaitu, mukuru w'entebe naakora aha bintu ebitarikuhenda biragiro.","Katika jamii yetu, Mwenyekiti anashughulikia maswala ya kisheria."
Courts promote justice in the country.,Kot ilo malo ngol matir i lobo man.,Kkooti zitumbula obwenkanya mu ggwanga.,Kamakayilo niko kaka yeta khu rera bwangali mwinambo,Embuga z'amateeka nizireetaho oburingaaniza omu ihanga.,Korti zinakuza haki nchini.
Our country participates in international sports every year.,Lobowa bedo ituku atime ikin lobo mwaka ducu.,Eggwanga lyaffe lyetaba mu byemizannyo ebiri ku ddaala ly'ensi yonna buli mwaka.,Linambo lyefwe litubila muminyawo kye sibala syosi buli mwakha,"Buri mwaka, eihanga ryaitu niryejumba omu mizaano y'ensi yoona.",Nchi yetu inashiriki katika michezo ya kimataifa kila mwaka.
Sports activities generate a lot of income these days.,Tic me tuku kelo lim mapol mada ikare man.,Ebyemizannyo bivaamu ssente nnyingi ensangi zino.,Byekiminyawo birera kamapesi kamakali lelo tsino,"Eriigyenda, eby'emizaano nibireetaho entaasya mpango.",Shughuli za michezo hutoa mapato mengi siku hizi.
Money is the major medium of exchange in the whole world.,Cente aye lalok jami ma pire tek loyo i wilobo.,Ssente ze zisinga okukozesebwa mu bugulanyi mu nsi yonna.,khurambisa kamapesi niyo ingeli ye khuukulana musibala syosi,Esente nizo zirikwejunisibwa omu kuhingaanisa eby'obuguzi omunsi yoona.,Pesa ndio njia kuu ya kubadilishana katika ulimwengu wote.
Banks offer loans to people with securities.,Bang miyo cente alega bot jo matye ki gin macung pire.,Bbanka ziwola abantu abalina omusingo.,Birara bi bikha kamapesi bikopesa liwumule abo bali ni sinyala sabye imilila,Za banka nizihora abantu sente abaine eby'okusingayo.,Benki hutoa mikopo kwa watu walio na usalama.
Their party is the strongest among all opposition political parties.,Patigi aye tek loyo ikin pati ma pe cwako gamente.,Ekibiina kyabwe kye kisinga amaanyi mu bibiina byonna ebiri ku ludda oluvuganya.,Siibina syabwe sye buwuli ate nga sili mwibyo bikhabisa linambo nisyo sifurayo kamani,Ekibiina kyabo nikyo kirikukizayo amaani omu bibiina byona  by'obutegyeki ebirikuhabura gavumenti.,Chama chao ni nguvu kati ya vyama vyote vya siasa vya upinzani.
He is among the founder members of their political party.,En tye ikin jo ma ocako patigi me cungo iwi bye.,Ye omu ku bantu abaatandikawo ekibiina kyabwe.,Ali mutwela khubo babarakikhawo sirekere syebuwuli,N'omwe aha baatandikireho ekibiina kyabo ky'eby'obutegyeki.,Yeye ni mmoja wa washiriki wa mwanzilishi wa chama chao cha siasa.
Mining is a profitable business in the whole world.,Golo lonyo me tengom obedo biacara ma kelo magoba loyo i wilobo kulu.,Okusima ebyobugagga eby'omu ttaka mulimu gwa ttunzi mu nsi yonna.,Khuyeba bye mwiloba sili sitwela khu bindu /burambi burera kamawumule kamafurisa musibala syosi,Okutimba eby'obugaiga bw'omu itaka n'omurimo ogurikureeta amagoba maingi omunsi yoona.,Uchimbaji Madini ni biashara yenye faida katika ulimwengu wote.
Companies are supposed to give protective gears to the workers.,Kampuni myero gimi ruk me gwoko kom bot lutic.,Ebitongole birina okuwa abakozi baabyo ebintu eby'okwekuumisa.,Birekere byakha khuwa barambi babyo bikwaro bibi balinda nga sibakanile bukosi taa,Kampuni zishemereire kuheereza abakozi ebikozeso by'okwerindisa.,Kampuni zinastahili kutoa gia za kinga kwa wafanyikazi.
Landslides cause a lot of deaths to people.,Muk pa ngom kelo too madwong bot dano.,Okukulugguka kw'ettaka kuviirako abantu nkumu okufa.,Tsikhururwe tsi rera khu fwa khwe babandu bakali,Okutenguka kw'eitaka nikwita abantu baingi.,Maporomoko ya ardhi husababisha vifo vingi kwa watu.
The chairman addressed the residents about the current problems in the village.,Wonkom oloko ki dano ikom peko ma kombedi tye i caro meno.,Ssentebe yayogeddeko eri abatuuze ku bizibu ebiri ku kyalo ensangi zino.,Urangilila sisyalo abelekho ni nganikha isi babekhali khu buwangafu buli musyalo aluno ari,Mukuru w'entebe akashoboororera abatuuzi aha buremeezi oburi omu kyaro obwahati.,Mwenyekiti aliwahutubia wakaazi juu ya shida za sasa katika kijiji.
The youths are the future leaders of our country.,Bulu aye lutela me anyim pi lobowa.,Abavubuka be bakulembeze b'eggwanga lyaffe mu biseera ebijja.,Basoleli nibo barangilisi be linambo lyefwe lye aburangisi,Eminyeeto nibo beebembezi b'eihanga  ryaitu aba nyensya.,Vijana ni viongozi wa baadaye wa nchi yetu.
The previous presidential elections were so vibrant.,Yero ladit lobo ma okatoni obedo lyet mada.,Akalulu k'obukulembeze bw'eggwanga akawedde kaalimu ebbugumu lingi.,Khurobola khwo umurangilisi we linambo khukhwowele khwobelemo isuuya,Oburuuru obuhwaireho obw'okuronda mukuru w'eihanga bukaba bwine amaani.,Uchaguzi wa rais wa zamani ulikuwa mzuri sana.
The sports council registers new clubs annually.,Kancil me tuku coyo kilab manyen mwaka ki kwaka.,Akakiiko k'ebyemizannyo kawandiisa ttiimu empya buli luvannyuma lwa mwaka.,Lukhikho lwe kiminyawo luwandikhisa bapisana atwela ate nga baburawa bulimwakh,Orukiiko orurikukurira emizaano omu ihanga niruhandiika ebibiina bisya  buri mwaka.,Baraza la Michezo linasajili vilabu vipya kila mwaka.
Our country made sixty years of independence last year in October.,Lobowa oo mwaka pyere abicel me locken imwaka ma okato i Dwe me Apar.,Eggwanga lyaffe lyaweza emyaka nkaaga egy'ameefuga mu Gwekkumi gw'omwaka oguwedde.,Linambo lyefwe lye tabusile kimoko kasesaba nga linyala kumwiko kubirire mumwesi kwelikhumi,"Omwaka oguhwaire omu kwezi kwaikumi, eihanga ryaitu rikamara emyaka nkaaga y'okwetegyeka. ",Nchi yetu ilifanya miaka sitini ya uhuru mwaka jana mnamo Oktoba.
There are many cultural leaders in our country.,Lutela tekwaro pol mada i lobowa.,Mu ggwanga lyaffe mulimu abakulembeze b'ennono bangi.,Aliwo barangilisi be bukuka bakali mwinambo lyefwe,Eihanga ryaitu ririmu abeebembezi baingi b'eby'obuhangwa.,Kuna viongozi wengi wa kitamaduni katika nchi yetu.
Cultural leaders play a big role in promoting discipline within the community.,Lutela tekwaro tye ki tic madit me ilo rwom me woro i kabedo moni.,Abakulembeze b'ennono bakola omulimu munene mu kutumbula empisa mu kitundu.,Barangilisi be bikuka bali ni bikali byesi bakhola mukhukangafula besisyal,Abeebembezi b'eby'obuhangwa baine omurimo muhango  gw'okureetaho emicwe mirungi omu byanga byaitu.,Viongozi wa kitamaduni wanachukua jukumu kubwa katika kukuza nidhamu ndani ya jamii.
Most of the national independence eyewitnesses are dead.,Pol jo ma oneno nongo locken ki wang-gi dong gutoo woko.,Abantu abasinga abaaliwo ku meefuga bafudde baweddewo.,Bababawo nga khufuna bunyalii bafura bukali bawumula/bafwa,Baakareebi abaingi bakafa.,Mashuhuda wengi wa uhuru wamekufa.
The number of domestic investors increases every year.,Wel lubiacara madongo mapaco mede mwaka ki mwaka.,Omuwendo gwa bamusigansimbi gweyongera buli mwaka.,Babandu babetubile mu bye burambi bwe kamawumulu bali khuyimba buli mwiko,Abanyayuganda abarikubiika sente omu by'obugaiga ebirikureeta sente nibeeyongyera buri mwaka.,Idadi ya wawekezaji wa ndani huongezeka kila mwaka.
Industries provide employment opportunities to people.,Indactri kelo tic mapol bot dano.,Amakolero gawa abantu emirmu.,Kamakholelo kasaalaa byeburambi isi babandu,Amakorero nigaheereza abantu emirimo.,Viwanda hutoa fursa za ajira kwa watu.
There is a high rate of motorcycle theft in urban areas.,Kwo pikipikitye lamal ikabedo me boma.,Obubbi bwa bboodabooda bweriisa nkuuli mu bitundu ebiri mu kibuga.,Aliwo bubwifi bwe tsi piki piki mu birimba bubwiyongele,Obushuma bwa pikipiki nibweyongyera omu ndembo.,Kuna kiwango cha juu cha wizi wa pikipiki katika maeneo ya mijini.
